,Sentence
567,"00146 , நார்வேய008 0115 00588012 01271 01375ய 00509 00031006 00018035ன034 0103 இலங்கை 00183 டி.எம். ஜெயரத்ன 00284007029 ."
568,இலங்கை 00204த்த008 00012 00198்ற 01376த்த008 00324040 00021ண்039 ஜெயரத்ன 00228ியத்0109 : .
569,00209 00104 01377008 00857ந்த 01028ப் 00570008 00584 00725 00059்ற006 .
570,0131 00112ய008 00146 0049 நார்வேய008 00010ள 00588012 00070000ச் 00474ந்021050்012 01271 01375ய 00509006 00018035ன034 .
571,"00146 , நார்வேய008 0115 00588012 00333 00180012 , 00588012 00729ப் 00740000 01271 00017த்த 00509006 00018035ன034 ."
572,01106 01378 01363ப் 00740000ய்0138 00017த்த 00574கள் 00509006 00018035ன034 .
573,இலங்கைய008 00068யாக 00084 00086த்த000 00027க்கும் 00574கள006 00036த்து0010154 00512000ச் 00031006 00018035ன034 .
574,"நார்வே , 00146வ008 0115 00588012 00740007 2 001800120138 0131 01103த்த008 00856ாக 00273்டு 00018035ன034 ."
575,00396த்தில் 00588012 01100ி 00074ந்த 01379ட்012 01322ிய 01380012 01033ப்00880086 .
576,01123ாக 00588012007 01306ப் 00333ய000ச் 00474ந்021050்012 0131 01380012000 00277040 00021ண்039 01081 00593்0154 01381ி 00933 00165031034 .
577,0131 00593 01380012000 00396த்தில் 00169ப் 01382 01196040 01383க்கச் 000310210047 .
578,01384க்கப்பட்ட 00588012007 00180012 01385 01103ங்012008 00273்டு 00018035ன034 00287ற029 00574 .
579,00042 00588012 00070000 01375க்க 00509006 00018ம் 00180012007 00982012000 00574 00204த்த008 00185வ்0101 .
580,00209 00104 00857ந்த 00570ு001ப் 0048 00588012 01386 00933000யும் 00165வ்0101 .
581,0131 00112ய008 00588012 0103 01387க்க 00007்பட027 00923012000 இலங்கை 01388 00392 00031006 00105ய008 00750டை006 00018035ன034 .
582,01389 00112 01390 00053த்த000 இலங்கை 00029 00814ி 00018014006 .
583,0131 00053த்து001 00026 00092008 00721 0012601901380139 01106000 00029 00814ி 00018014006 .
584,01022 00151 00180012000 01391வதற்0250154 00512000 00082ம் 00565 01100ி 00018014006 0103 01022012 00432ிய் 00010ளன .
585,"ஐ.நா. 00070008 00963 00050ரும் 01189த்த008 00031ய 01392 01393 00010ள006 0156 00278 00028 002140138 , ஐ.நா. 00070டன் 01042 00104012 00011டையவர்01380155 சசி தரூர் 00178021029 ."
586,00204 00807012 00910011 00574 ஐ.நா. 00318ன்ற்0040 .
587,ஐ.நா. 00070008 00302 00963ங்012 00050ரப்0157 00060ம் 0156 00182 00870ி 00018014006 .
588,ஐ.நா. 00070008 00963 00021ண்டு 00018வது 0065 00510ய028தது 00892்0138 00100லை .
589,00042 01106 01394 01395 0076 நாம் 00591க்க 00060ம் 00287ற029 .
590,00407 00857040 00018ம் 00988012 013960154 00010ள006 .
591,"00042 , 00198ம் 01167ய000ய்0138 , 00080 01397012000ய்0138 00591க்கும் 0125 01398 01189த்த008 நாம் 00702 00006க்க 00060ிய 00222012 01393 00010ளன 01050160 01399ல 00060ம் ."
592,1995ல் 01400 ஐ.நா. 01401 001800138 01402 0140301380155 ரஸôலி இஸ்மாயில் 01220த்த 01404 01058த்த000ய்0138 00407 00857க்கும் 01167ய000ய்0138 00591க்கும் 0125 நாம் 0131 01189த்த008 0042 01405ி 00041022006 00166014006 .
593,நம006 01179012000 00038க் 00283ியத்0154 01404 01058 00126019006 .
594,00042 00223 01106000 00038 00510ய028மல் 00399017006 .
595,00187 01106 008240010138 00318லவ்0101 00287ற029 தரூர் .
596,"1992-96ல் ஐநா 00044ச் 004450154 00126ந்த புட்ரோஸ் காலி , ஐ.நா.வ007 50வது 00104 00323வு0010136 ஐ.நா. 00963 00038 00007்பட027 0103 00572 00288021029 ."
597,00901ந்த 00210 01406ானிய 00029 0141 00030 00006006021006 .
598,"01407 , 00015்ட008 00010ள 00089 01408க் 01409ங்012000ய்0138 01410ய்0154 11 00104கள008 00355ி0148 00060ம் ."
599,2022-ம் 00104008 01411ய008 01408க் 01409ங்0120160 0060 00112 00017 00060ம் 0065 0130 01106 .
